user_id,age,income,monthly_spend,credit_score,work_hours,transactions
1,22.0,18000.0,3000.0,650.0,40.0,15.0
2,25.0,22000.0,4500.0,680.0,42.0,18.0
3,28.0,30000.0,6000.0,700.0,45.0,20.0
4,35.0,45000.0,9000.0,720.0,48.0,25.0
5,40.0,55000.0,12000.0,740.0,50.0,30.0
6,45.0,65000.0,15000.0,760.0,52.0,35.0
7,50.0,75000.0,18000.0,780.0,55.0,40.0
8,55.0,85000.0,21000.0,800.0,58.0,45.0
# ðŸ”´ BIG OUTLIERS BELOW,,,,,,
9,60.0,5000000.0,450000.0,900.0,120.0,400.0
10,65.0,12000000.0,900000.0,950.0,160.0,900.0
11,70.0,25000000.0,1500000.0,990.0,200.0,1500.0
# ðŸ”´ LOW-END OUTLIERS,,,,,,
12,18.0,500.0,50.0,300.0,5.0,1.0
13,19.0,800.0,80.0,320.0,6.0,2.0
# ðŸ”´ NEGATIVE / INVALID EDGE CASES,,,,,,
14,30.0,-20000.0,-500.0,400.0,35.0,-10.0
15,32.0,40000.0,-10000.0,600.0,38.0,9999.0
